,not_blank_or_descriptive_lines
63,"Hallelujah, hallelujah, hallelujah, hallelujah
"
64,"Hallelujah, hallelujah, hallelujah, hallelujah
"
65,"Hallelujah, hallelujah, hallelujah, hallelujah
"
66,"Hallelujah, hallelujah, hallelujah, hallelujah
"
67,"Hallelujah, hallelujah, hallelujah, hallelujah
"
68,"Hallelujah, hallelujah, hallelujah, hallelujah
"
69,"Hallelujah, He is wonderful
"
70,"If you woke, then wake up
"
71,"With Judas, kiss and make up
"
72,"Even with the bitter cup
"
73,"Forgave my brothers and drank up
"
74,"Did everything but gave up
"
75,"Stab my back, I can't front
"
76,"Still we win, we prayed up
"
77,"Even when we die, we raise up (Hallelujah)
"
78,"Ain't no wantin', no, we need it
"
79,"The powers that be done been greedy
"
80,"We need ours by this evening
"
81,"No white flag or no treaty
"
82,"We got the product, we got the tools
"
83,"We got the minds, we got the youth
"
84,"We goin' wild, we on the loose
"
85,"People is lying, we are the truth
"
86,"Everything old shall now become new
"
87,"The leaves’ll be green, bearing the fruit
"
88,"Love God and our neighbor, as written in Luke
"
89,"The army of God and we are the truth
"
90,"Wah, woo, wah, woo, woo, woo, woo, woo
"
91,"Wah, woo, wah, woo, woo, woo, woo, woo
"
92,"Woo, woo, woo, woo, woo, woo, woo, woo
"
93,"Wah, woo, wah, woo, woo, woo, woo
"
94,"Father, I stretch
"
95,"Stretch my hands to You
"
96,"Lifelike, this is what your life like, try to live your life right
"
97,"People really know you, push your buttons like typewrite
"
98,"This is like a movie, but it's really very lifelike
"
99,"Every single night, right, every single fight, right?
"
100,"I was looking at the 'Gram and I don't even like likes
"
101,"I was screamin' at my dad, he told me, ""It ain't Christ-like""
"
102,"I was screamin' at the referee just like Mike
"
103,"Lookin' for a bright light, Sigel, what your life like
"
104,"Riding on a white bike, feeling like Excitebike (Stretch my hands to You)
"
105,"Pressin' on the gas, supernova for a night light
"
106,"Screamin' at my dad and he told me, ""It ain't Christ-like""
"
107,"But nobody never tell you when you're being like Christ
"
108,"Only ever seein' me only when they needin' me
"
109,"Like if Tyler Perry made a movie for BET
"
110,"Searchin' for a deity, now you wanna see it free
"
111,"Now you wanna see if we, let's just see if three apiece
"
112,"Tell me what your life like, turn it down, a bright light
"
113,"Drivin' with my dad, and he told me, ""It ain't Christ-like"" (Stretch my hands to You)
"
114,"I'm just tryna find, l've been lookin' for a new way
"
115,"I'm just really tryin' not to really do the fool way
"
116,"I don't have a cool way, bein' on my best, though
"
117,"Block 'em on the text though, nothin' else next though
"
118,"Not another word, letter, picture, or a decimal (Father, I stretch)
"
119,"Wrestlin' with God, I don't really want to wrestle
"
120,"Man, it's really lifelike, everything in my life (Stretch my hands to You)
"
121,"Arguing with my dad, and he said, ""It ain't Christ-like""
"
122,"Man
"
123,"You know, it's like
"
124,"Somebody only close who can get you, like, off your
"
125,"I be on my
"
126,"I woke up this morning, I said my prayers
"
127,"I'm all doing good, I tried to talk to my dad (Stretch my hands to You)
"
128,"Give him some advice, he starts spazzin' on me
"
129,"I start spazzin' back, He said ""That ain't Christ-like""
"
130,"I said, ""Ahhh""
"
131,"Closed on Sunday, you're my Chick-fil-A
"
132,"Closed on Sunday, you my Chick-fil-A
"
133,"Hold the selfies, put the 'Gram away
"
134,"Get your family, y'all hold hands and pray
"
135,"When you got daughters, always keep 'em safe
"
136,"Watch out for vipers, don't let them indoctrinate
"
137,"Closed on Sunday, you my Chick-fil-A
"
138,"You're my number one, with the lemonade
"
139,"Raise our sons, train them in the faith
"
140,"Through temptations, make sure they're wide awake
"
141,"Follow Jesus, listen and obey
"
142,"No more livin' for the culture, we nobody's slave
"
143,"Stand up for my home
"
144,"Even if I take this walk alone
"
145,"I bow down to the King upon the throne
"
146,"My life is His, I'm no longer my own
"
147,"I pray to God that He'll strengthen my hand
"
148,"They will think twice steppin' onto my land
"
149,"I draw the line, it's written in the sand
"
150,"Try me and you will see that I ain't playin'
"
151,"Now, back up off my family, move your hands
"
152,"I got my weapons in the spirit's land
"
153,"I, Jezebel don't even stand a chance
"
154,"Jezebel don't even stand a chance
"
155,"Chick-fil-A
"
156,"Yo, Pi'erre, yo, Pi'erre
"
157,"""How you get so much favor on your side?""
"
158,"""Accept Him as your Lord and Saviour,"" I replied
"
159,"Thou shalt love thy neighbor, not divide
"
160,"I'ma ride, that's on God
"
161,"His light shine the brightest in the dark
"
162,"Single mothers know they got my heart
"
163,"And all my brothers locked up on the yard
"
164,"You can still be anything you wanna be
"
165,"Went from one in four to one in three
"
166,"Thirteenth amendment, gotta end it, that's on me
"
167,"He the new commander and the chief
"
168,"That's on Keef, that's on God
"
169,"Before the ranch, I had horses in the garage
"
170,"When the Forbes cover was just a mirage
"
171,"They had me chasin' statues, that's on pride
"
172,"""Oh my God,"" Bust said that's on Tribe
"
173,"When I thought the Book of Job was a job
"
174,"The Devil had my soul, I can't lie
"
175,"Life gon' have some lows and some highs
"
176,"Before the Grammy's ever gave a nod
"
177,"I wore my heart on my sleeve, I couldn't hide
"
178,"In '03, they told me not to drive
"
179,"I bleached my hair for every time I could've died
"
180,"But I survived, that's on God
"
181,"I've been tellin' y'all since '05
"
182,"The greatest artist restin' or alive
"
183,"That's on L.A. Reid, that's on Clive
"
184,"That's no Jive, that's on God
"
185,"Off the 350s He supplied
"
186,"The IRS want they fifty plus our tithe
"
187,"Man, that's over half of the pie
"
188,"I felt dry, that's on God
"
189,"That's why I charge the prices that I charge
"
190,"I can't be out here dancin' with the stars
"
191,"No, I cannot let my family starve
"
192,"I go hard, that's on God
"
193,"(Yo Pi'erre, you wanna come out here?)
"
194,"Okay, okay, okay, okay
"
195,"We began after the storm inside
"
196,"Lay the land (Ah), it's just the morning light (Woo, woo)
"
197,"Woo, woo, oh yeah
"
198,"Woo-ooh, ooh-ooh
"
199,"Switch your⁠, switch your attitude
"
200,"Go 'head, level up yourself
"
201,"This that different latitude
"
202,"Ooh-ooh, ooh-ooh
"
203,"Life too short, go spoil yourself
"
204,"Feel that feel, enjoy yourself 'cause
"
205,"We have everything we need (Ooh-ooh, ooh-ooh, oh)
"
206,"We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)
"
207,"We have everything we need (Ooh-ooh, ooh-ooh, oh)
"
208,"We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)
"
209,"We have everything we need
"
210,"We began after the storm inside
"
211,"Lay the land (Ah), it's just the morning light (Oh, yeah)
"
212,"Switch my, switch my attitude
"
213,"I'm so, I'm so radical
"
214,"All these people mad at dude
"
215,"This for who it matter to
"
216,"What if Eve made apple juice?
"
217,"You gon' do what Adam do?
"
218,"Or say, ""Baby, let's put this back on the tree"" 'cause
"
219,"We have everything we need (Ooh-ooh, ooh-ooh, oh)
"
220,"We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)
"
221,"We have everything we need (Ooh-ooh, ooh-ooh, oh)
"
222,"We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)
"
223,"We have everything we need
"
224,"We began after the storm inside
"
225,"Lay the land (Ah), it's just the morning light
"
226,"Well, right
"
227,"So, so well
"
228,"Well, right
"
229,"So, so
"
230,"High as the sun come out
"
231,"Plannin'
"
232,"Bootin'
"
233,"Plannin'
"
234,"Movin'
"
235,"Plannin'
"
236,"Tubin', there
"
237,"Well, well
"
238,"Clean us like the rain in spring
"
239,"Take the chlorine out our conversation
"
240,"Let Your light reflect on me
"
241,"I promise I'm not hiding anything
"
242,"It's water
"
243,"We are water
"
244,"Pure as water
"
245,"Like a newborn daughter
"
246,"The storm may come
"
247,"But we'll get through it because of Your love
"
248,"Either way, we crash like water
"
249,"Your love's water
"
250,"Pure as water
"
251,"We are water
"
252,"Jesus, flow through us
"
253,"Jesus, heal the bruises
"
254,"Jesus, clean the music
"
255,"Jesus, please use us
"
256,"Jesus, please help
"
257,"Jesus, please heal
"
258,"Jesus, please forgive
"
259,"Jesus, please reveal
"
260,"Jesus, give us strength
"
261,"Jesus, make us well
"
262,"Jesus, help us live
"
263,"Jesus, give us wealth
"
264,"Jesus is our safe
"
265,"Jesus is our rock
"
266,"Jesus, give us grace
"
267,"Jesus, keep us safe
"
268,"Clean us like the rain in spring
"
269,"Take the chlorine out our conversation
"
270,"Let Your light reflect on me
"
271,"I promise I'm not hiding anything
"
272,"It's water
"
273,"We are water
"
274,"Pure as water
"
275,"Like a newborn daughter
"
276,"God is
"
277,"My light in darkness, oh
"
278,"God, God is
"
279,"He, He is my all and all (And I'll never turn back)
"
280,"God is
"
281,"Everything that hath breath praise the Lord
"
282,"Worship Christ with the best of your portions
"
283,"I know I won't forget all He's done
"
284,"He's the strength in this race that I run
"
285,"Every time I look up, I see God's faithfulness
"
286,"And it shows just how much He is miraculous
"
287,"I can't keep it to myself, I can't sit here and be still
"
288,"Everybody, I will tell 'til the whole world is healed
"
289,"King of Kings, Lord of Lords, all the things He has in store
"
290,"From the rich to the poor, all are welcome through the door
"
291,"You won't ever be the same when you call on Jesus' name
"
292,"Listen to the words I'm sayin', Jesus saved me, now I'm sane
"
293,"And I know, I know God is the force that picked me up
"
294,"I know Christ is the fountain that filled my cup
"
295,"I know God is alive, yeah
"
296,"He has opened up my vision
"
297,"Giving me a revelation
"
298,"This ain't 'bout a dead religion
"
299,"Jesus brought a revolution
"
300,"All the captives are forgiven
"
301,"Time to break down all the prisons
"
302,"Every man, every woman
"
303,"There is freedom from addiction
"
304,"Jesus, You have my soul
"
305,"Sunday Service on a roll
"
306,"All my idols, let 'em go
"
307,"All the demons, let 'em know
"
308,"This a mission, not a show
"
309,"This is my eternal soul
"
310,"This my kids, this the crib
"
311,"This my wife, this my life
"
312,"This my God-given right
"
313,"Thank You, Jesus, won the fight
"
314,"That's what God is
"
315,"That's what God is
"
316,"That's what God is
"
317,"Hand 'em
"
318,"Hands up high, hands on, hands on
"
319,"Hands on, hands up
"
320,"In your face, the reason
"
321,"Hands on, yeah, hands on
"
322,"Cut out all the lights, He the light
"
323,"Got pulled over, see the brights
"
324,"What you doin' on the street at night?
"
325,"Wonder if they're gonna read your rights
"
326,"Thirteenth Amendment, three strikes
"
327,"Made a left when I should've made a right
"
328,"Told God last time on life
"
329,"Told the devil that I'm going on a strike
"
330,"Told the devil when I see him, on sight
"
331,"I've been working for you my whole life
"
332,"Told the devil that I'm going on a strike
"
333,"I've been working for you my whole life
"
334,"Nothing worse than a hypocrite
"
335,"Change, he ain't really different
"
336,"He ain't even try to get permission
"
337,"Ask for advice and they dissed him
"
338,"Said I'm finna do a gospel album
"
339,"What have you been hearin' from the Christians?
"
340,"They'll be the first one to judge me
"
341,"Make it feel like nobody love me
"
342,"They'll be the first one to judge me
"
343,"Feelin' like nobody love me
"
344,"Told people God was my mission
"
345,"What have you been hearin' from the Christians?
"
346,"They'll be the first one to judge me
"
347,"Make it feel like nobody love me
"
348,"Make you feel alone in the dark and you'll never see the light
"
349,"Man, you're never seein' home and you never see the domes
"
350,"I can feel it when I write, point of livin' in the right
"
351,"If they only see the wrongs, never listen to the songs
"
352,"Just to listen is a fight, but you booked me for the fight
"
353,"It's so hard to get along if they only see the slight
"
354,"From the love of religion
"
355,"What have you been hearin' from the Christians?
"
356,"They'll be the first one to judge me
"
357,"Make it seem like nobody love me
"
358,"I'm not tryna lead you to Visas
"
359,"But if I try to lead you to Jesus
"
360,"We get called halfway believers
"
361,"Only halfway read Ephesians
"
362,"Only if they knew what I knew, uh
"
363,"I was never new 'til I knew of
"
364,"True and living God, Yeshua
"
365,"The true and living God
"
366,"(Somebody pray for me)
"
367,"Hand 'em
"
368,"Hands up high, hands on, hands on
"
369,"Hands on, hands up
"
370,"In your face, the reason
"
371,"Hands on, yeah, hands on
"
372,"I deserve all the criticism you got
"
373,"If that's all the love you have, that's all you got
"
374,"To sing of change, you think I'm joking
"
375,"To praise His name, you ask what I'm smoking
"
376,"Yes, I understand your reluctancy, yeah
"
377,"But I have a request, you see
"
378,"Don't throw me up, lay your hands on me
"
379,"Please, pray for me
"
380,"Hold myself on death
"
381,"Hold it down, all fallen down
"
382,"Somebody pray for me
"
383,"Hand 'em
"
384,"Hands up high, hands on, hands on
"
385,"Hands on, hands up
"
386,"In your face, the reason
"
387,"Hands on, yeah, hands on
"
388,"Oh, oh, oh, oh, oh, oh
"
389,"Oh, oh, oh, oh-oh, oh, oh
"
390,"Oh, oh, oh, oh, oh, oh
"
391,"Oh, oh, oh, oh-oh, oh, oh
"
392,"Use this gospel for protection
"
393,"It's a hard road to Heaven
"
394,"We call on Your blessings
"
395,"In the Father, we put our faith
"
396,"King of the kingdom
"
397,"Our demons are tremblin'
"
398,"Holy angels defendin'
"
399,"In the Father, we put our faith
"
400,"Oh, oh, oh, oh, oh, oh
"
401,"Oh, oh, oh, oh-oh, oh, oh
"
402,"How could He not be the greatest?
"
403,"In my bed, under covers when undercovers had raided
"
404,"My presence is happy belated
"
405,"Fashionably late, I'm just glad that you made it
"
406,"The best is yet to come, I'm just glad that you waited
"
407,"They all say they real 'til it's time to appraise it
"
408,"I seen them come and go, you only the latest
"
409,"But who am I to judge? I'm crooked as Vegas
"
410,"Use this gospel for protection
"
411,"It's a hard road to Heaven
"
412,"We call on Your blessings
"
413,"In the Father, we put our faith
"
414,"King of the kingdom
"
415,"Our demons are tremblin'
"
416,"Holy angels defendin'
"
417,"In the Father, we put our faith
"
418,"A lot of damaged souls, I done damaged those
"
419,"And in my arrogance, took a camera pose
"
420,"Caught with a trunk of Barry Manilows
"
421,"They sing a different tune when the slammer close
"
422,"From the concrete grew a rose
"
423,"They give you Wraith talk, I give you faith talk
"
424,"Blindfolded on this road, watch me faith walk
"
425,"Just hold on to your brother when his faith lost
"
426,"Oh, oh, oh (Work, work, work, work)
"
427,"Oh, oh, oh (Work, work, work, work)
"
428,"Oh, oh, oh (Work, work, work, work)
"
429,"Oh-oh, oh, oh (Work, work, work, work)
"
430,"Oh, oh, oh (Work, work, work, work)
"
431,"Oh, oh, oh (Work, work, work, work)
"
432,"Oh, oh, oh (Work, work, work, work)
"
433,"Oh-oh, oh, oh (Work, work, work, work)
"
434,"Every knee shall bow
"
435,"Every tongue confess
"
436,"Jesus is Lord
"
437,"Jesus is Lord
"
438,"Every knee shall bow
"
439,"Every tongue confess
"
440,"Jesus is Lord
"
441,"Jesus is Lord
"
442,"I know, I know, I know, I know, know
"
443,"I know, I know, I know, I know, know
"
444,"I, I know it, I know it
"
445,"The most beautiful thoughts are always besides the darkest
"
446,"Today, I seriously thought about killing you
"
447,"I contemplated, premeditated murder
"
448,"And I think about killing myself
"
449,"And I love myself way more than I love you, so…
"
450,"Today, I thought about killing you, premeditated murder
"
451,"You'd only care enough to kill somebody you love
"
452,"The most beautiful thoughts are always inside the darkest
"
453,"(Mhm—mhm—mhm—mhm—mhmm)
"
454,"Just say it out loud to see how it feels
"
455,"People say ""don't say this, don't say that""
"
456,"Just say it out loud, just to see how it feels
"
457,"Weigh all the options, nothing's off the table
"
458,"Today, I thought about killing you, premeditated murder
"
459,"I think about killing myself
"
460,"And I, I love myself way more than I love you
"
461,"The most beautiful thoughts are always besides the darkest
"
462,"(Mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhmm)
"
463,"I think this is the part where I'm supposed to say somethin' good to compensate it so it doesn't come off bad
"
464,"But sometimes I think really bad things
"
465,"Really, really, really bad things
"
466,"And I love myself way more than I love you
"
467,"See, if I was tryin' to relate it to more people
"
468,"I'd probably say I'm struggling with loving myself
"
469,"Because that seems like a common theme
"
470,"But that's not the case here
"
471,"I love myself way more than I love you
"
472,"And I think about killing myself
"
473,"So, best believe, I thought about killing you today
"
474,"Premeditated murder
"
475,"I called up my loved ones, I called up my cousins
"
476,"I called up the Muslims, said I'm 'bout to go dumb
"
477,"Get so bright, it's no sun, get so loud, I hear none
"
478,"Screamed so loud, got no lungs, hurt so bad, I go numb
"
479,"Time to bring in the drums, that prra-pa-pa-pum
"
480,"Set the NewTone on 'em, set the nuke off on 'em
"
481,"I need Coke with no rum, I taste coke on her tongue
"
482,"I don't joke with no one, they'll say ""He died so young""
"
483,"I done had a bad case of too many bad days
"
484,"Got too many bad traits, used the floor for ashtrays
"
485,"I don't do shit halfway, I'ma clear the cache
"
486,"I'ma make my name last, put that on my last name
"
487,"It's a different type of rules that we obey
"
488,"Ye, Ye, Ye season, nigga, we Old Bay
"
489,"We was all born to die, nigga, DOA
"
490,"Niggas say they hero, mm, I don't see no cape
"
491,"Mm, I don't see no, mm, yeah, I don't see no, mm, mm
"
492,"If I wasn't shinin' so hard, wouldn't be no shade
"
493,"Buckwheat-ass nigga, it's gon' be o-tay
"
494,"Sorry, but I chose not to be no slave
"
495,"Young nigga shit, nigga, we don't age
"
496,"I thought I was past my Deebo ways
"
497,"Even when I went broke, I ain't break
"
498,"How you gon' hate? Nigga, we go way back
"
499,"To when I had the braids and you had the wave cap
"
500,"Drop a pin for the fade and I'm on my way ASAP
"
501,"Don't get socked in the mouth, you know homie don't play that
"
502,"Pay the fire marshal bill 'cause this shit done got way packed
"
503,"They wanna see me go ape (Ape, ape)
"
504,"All you gotta do is speak on Ye
"
505,"All you gotta do is speak on Ye
"
506,"Don't get your tooth chipped like Frito-Lay
"
507,"Shit could get menacin', frightenin', find help
"
508,"Sometimes I scare myself, myself
"
509,"Shit could get menacin', frightenin', find help
"
510,"Sometimes I scare, myself, myself
"
511,"Tweakin', tweakin' off that 2C-B, huh
"
512,"Is he gon' make it? TBD, huh
"
513,"Thought I was gon' run, DMC, huh
"
514,"I done died and lived again on DMT, huh
"
515,"See, this a type of high that won't come down
"
516,"This the type of high that get you gunned down
"
517,"Yeezy, Yeezy trollin' OD, huh
"
518,"Turn TMZ to Smack DVD, huh
"
519,"Russell Simmons wanna pray for me too
"
520,"I'ma pray for him 'cause he got MeToo'd
"
521,"Thinkin' what if that happened to me too
"
522,"Then I'm on E! News
"
523,"Shit could get menacin', frightenin', find help
"
524,"Sometimes I scare myself, myself
"
525,"Shit could get menacin', frightenin', find help
"
526,"Sometimes I scare myself, myself
"
527,"Ayy, hospital band a hundred bands, fuck a watch
"
528,"Hundred grand'll make your best friends turn to opps
"
529,"I hear y'all bringin' my name up a lot
"
530,"Guess I just turned the clout game up a notch
"
531,"See, y'all really shocked, but I'm really not
"
532,"You know how many girls I took to the titty shop?
"
533,"If she get the ass with it, that's a 50 pop
"
534,"I still bring the bad bitches in the city out
"
535,"Uh, just a different type of leader
"
536,"We could be in North Korea, I could smoke with Wiz Khalifa, uh
"
537,"Told my wife I've never seen her
"
538,"After I hit it, bye Felicia, that's the way that I'ma leave it up
"
539,"Shit could get menacin', frightenin', find help
"
540,"See, this is why all the bitches fuck with Ye!
"
541,"Fuck what they talk about!
"
542,"Sometimes I scare myself, myself
"
543,"They take me on meds, off meds, ask yourself
"
544,"Shit could get menacin', frightenin', find help
"
545,"Ask your homegirl right now, ""Look, you had a shot at Ye?""
"
546,"Sometimes I scare myself, myself
"
547,"You'd drop everything!
"
548,"Tweakin', tweakin' off that 2C-B, huh
"
549,"This is why your bitches fuck with me, huh
"
550,"Smash, she gon' end up on TV, huh
"
551,"Last thing that you ever wanna see, huh
"
552,"I can feel the spirits all around me
"
553,"I think Prince and Mike was tryna warn me
"
554,"They know I got demons all on me
"
555,"Devil been tryna make an army
"
556,"They been strategizin' to harm me
"
557,"They don't know they dealin' with a zombie
"
558,"Niggas been tryna test my Gandhi
"
559,"Just because I'm dressed like Abercrombie
"
560,"You see? You see?
"
561,"That's what I'm talkin' 'bout!
"
562,"That's why I fuck with Ye!
"
563,"See, that's my third per-
"
564,"That's my bipolar shit, nigga, what?
"
565,"That's my superpower, nigga, ain't no disability
"
566,"I'm a superhero! I'm a superhero!
"
567,"Agghhh!
"
568,"Yeah, you supermodel thick
"
569,"Damn, that ass bustin' out the bottom
"
570,"I'ma lose my mind in it
"
571,"Crazy, that medulla oblongata
"
572,"Get to rubbin' on my lamp
"
573,"Get the genie out the bottle
"
574,"Fuck it up, fuck it up
"
575,"Pussy good, go 'n back it up
"
576,"Pipe her up, I'ma pipe her up
"
577,"Make her mine, I done fell in love
"
578,"Juicy thing, make that pussy sing
"
579,"One more time, baby, do it big
"
580,"Make it cry, come boohoo this shit
"
581,"Yeah, you supermodel thick
"
582,"Damn, that ass bustin' out the bottom
"
583,"I'ma lose my mind in it
"
584,"Crazy, that medulla oblongata
"
585,"Get to rubbin' on my lamp
"
586,"Get the genie out the bottle
"
587,"If I pull up with a Kerry Washington
"
588,"That's gon' be an enormous scandal
"
589,"I could have Naomi Campbell
"
590,"And still might want me a Stormy Daniels
"
591,"Sometimes you gotta bag the boss up
"
592,"I call that takin' Corey Gambles
"
593,"Find yourself up in the food court
"
594,"You might have to enjoy a sample
"
595,"All these thots on Christian Mingle
"
596,"Almost what got Tristan single
"
597,"If you don't ball like him or Kobe
"
598,"Guarantee that bitch gonna leave you
"
599,"Ayy, time is extremely valuable
"
600,"And I prefer to waste it on girls that's basic
"
601,"That's just some Ye shit
"
602,"Right now, let's do what we want
"
603,"Let's have a threesome: me, you, and a blunt
"
604,"I love your titties 'cause they prove
"
605,"I can focus on two things at once
"
606,"Yeah, you supermodel thick
"
607,"Damn, that ass bustin' out the bottom
"
608,"I'ma lose my mind in it
"
609,"Crazy, that medulla oblongata
"
610,"Get to rubbin' on my lamp
"
611,"Get the genie out the bottle
"
612,"Get the genie out the bottle
"
613,"Let me hit it raw like fuck the outcome
"
614,"Ayy, none of us'd be here without cum
"
615,"Ayy, if it ain't all about the income
"
616,"Ayy, ayy, let me see you go ahead and spend some
"
617,"Ayy, if you drivin' 'round in some Dri-Fit
"
618,"Ayy, I'ma think that you the type to dry snitch
"
619,"Hm, mhm, if I see you pull up with the three stripes
"
620,"Ayy, ayy, I'ma fuck around and make you my bitch
"
621,"Yeah, you supermodel thick
"
622,"Damn, that ass bustin' out the bottom
"
623,"I'ma lose my mind in it
"
624,"Crazy, that medulla oblongata
"
625,"Get to rubbin' on my lamp
"
626,"Get the genie out the bottle
"
627,"Get the genie out the bottle
"
628,"I don't feel that she's mine enough
"
629,"God, I feel I couldn't have you windin' up
"
630,"Butterfly in my wrist
"
631,"You make pretty women out of my skin
"
632,"And I don't feel like
"
633,"And I know you wouldn't leave
"
634,"They say, ""Build your own""—I said, ""How, Sway?""
"
635,"I said, ""Slavery a choice""—they said, ""How, Ye?""
"
636,"Just imagine if they caught me on a wild day
"
637,"Now I'm on fifty blogs gettin' fifty calls
"
638,"My wife callin', screamin', say we 'bout to lose it all
"
639,"Had to calm her down 'cause she couldn't breathe
"
640,"Told her she could leave me now, but she wouldn't leave
"
641,"And I know you wouldn't leave
"
642,"And I sometimes wish
"
643,"We doin' such things
"
644,"We could wait longer than this
"
645,"Yes, you know you're one of these
"
646,"We can run through with the top chopped, yeah
"
647,"And the sundress down, ooh
"
648,"And I know you wouldn't...
"
649,"Oh, don't bring that up, that's gon' get me sentimental
"
650,"You know I'm sensitive, I got a gentle mental
"
651,"Every time somethin' happen they want me sent to mental
"
652,"We had an incident, but I cover incidentals
"
653,"You want me workin' on my messagin'
"
654,"When I'm thinkin' like George Jetson
"
655,"But soundin' like George Jefferson
"
656,"Then they questionin' my methods then
"
657,"If you tweakin' out on my texts again
"
658,"Then I don't get reception here
"
659,"I got the mind state to take us past the stratosphere
"
660,"I use the same attitude that done got us here
"
661,"I live for now, I don't know what happen after here
"
662,"I live for now, I don't know what happen after here
"
663,"Plus, what was meant to be was meant to be
"
664,"Even if, publicly, I lack the empathy
"
665,"I ain't finna talk about it, 'nother four centuries
"
666,"One and one is two, but me and you, that's infinity
"
667,"And I know you wouldn't...
"
668,"I don't feel like she's mine enough
"
669,"God, I feel I couldn't have you windin' up (Why?)
"
670,"Butterfly in my wrist
"
671,"You make pretty women out of my skin (Out of my skin)
"
672,"And I don't feel like (Uhh)
"
673,"And I know you wouldn't leave (Love me or hate me)
"
674,"For any guy that ever fucked up (Love me or hate me)
"
675,"Ever embarrassed they girl (Love me or hate me)
"
676,"Ever embarrassed they wife (Gone when you miss me)
"
677,"She told you not to do that shit (Ohh)
"
678,"She told you you's gon' fuck the money up
"
679,"But you ain't wanna listen, did you?
"
680,"Keep that same energy
"
681,"Keep that same energy
"
682,"Keep that same energy
"
683,"Now you testin' her loyalty
"
684,"This what they mean when they say
"
685,"""For better or for worse"", huh?
"
686,"For every down female that stuck with they dude
"
687,"Through the best times, through the worst times
"
688,"This for you
"
689,"And I know you wouldn't leave
"
690,"Believe it or not
"
691,"Believe it or not
"
692,"Make no mistake, girl, still love you
"
693,"Make no mistake, girl, still love you
"
694,"Make no mistake, girl, still love you
"
695,"Make no mistake, girl, still love you
"
696,"Take the top off, let the sun come in (The lord still shines on you)
"
697,"Whoa, for all my dogs that stayed down, we up again (Again)
"
698,"Oh, I got dirt on my name, I got white on my beard
"
699,"I had debt on my books, it's been a shaky-ass year
"
700,"Let me make this clear, so all y'all see
"
701,"I don't take advice from people less successful than me
"
